PlotYear,DaysToAnthesis,DaysToSilking,ASI,Moisture,KernelDryWt,TestWeight,EarHeight,EarHt2,FlagHeight,FlagHeight2,RootLodging,StalkLodging,StandCount,StandCount2,AdjustedYield15.5,EarLeaf,TotalLeaves,LeafExpansionRate,R2LeafN,R2LeafS,R2LeafP,R2LeafK,R2LeafMg,R2LeafCa,R2LeafFe,R2LeafMn,R2LeafCu,R2LeafZn,GrainN,GrainS,GrainCu,GrainFe,GrainMn,GrainK,GrainZn,GrainMg,GrainP
9801_2020,65,70,-5,0.287,,53.4,134.5,,235.5,,0,2,77,,119.5769401,13.5,17,0.01223623,3.03,0.22,0.28,1.44,0.3,0.82,129,105,12,43,,,,,,,,,
9804_2020,63,61,2,0.155,,57.4,139,,252.5,,0,13,82,,79.54494759,13.5,21,0.01564598,3.47,0.23,0.3,1.84,0.28,0.72,105,71,11,23,,,,,,,,,
9806_2020,65,65,0,0.3,,53.9,111.5,,204,,0,0,86,,158.4243446,14,18.5,0.013554196,3.34,0.22,0.29,1.71,0.25,0.54,110,69,10,25,1.5,0.12,1.9,22,5,0.33,17.1,0.12,0.29
9807_2020,64,65,-1,0.185,,50.1,139,,240,,0,7,87,,116.5643764,13.5,18,0.011734485,3.33,0.21,0.27,2.1,0.2,0.59,93,103,10,35,1.239,0.1,4.1,24.1,6.7,0.42,17.9,0.11,0.24
9809_2020,63,64,-1,0.21,,57.1,141,,252.5,,0,17,84,,102.6385183,14,21,0.013282122,3.15,0.22,0.28,1.24,0.29,0.81,100,74,9,24,,,,,,,,,
9811_2020,60,59,1,0.169,,59.4,108.5,,221,,0,4,87,,101.6213016,11.5,17.5,0.013554196,3.19,0.22,0.27,1.59,0.18,0.85,92,75,11,34,,,,,,,,,
9812_2020,65,64,1,0.256,,53.3,122,,245,,0,3,75,,150.6531236,14.5,19.5,0.013826269,3.05,0.2,0.26,1.74,0.25,0.57,100,69,9,30,,,,,,,,,
9813_2020,60,63,-3,0.146,,54.8,117.5,,226.5,,2,2,82,,77.34135,12,16.5,0.013826269,3.1,0.2,0.29,1.74,0.27,0.85,86,83,9,30,,,,,,,,,
9814_2020,66,70,-4,0.282,,52.5,131.5,,248,,0,6,83,,123.697501,13,15,0.011462411,3.34,0.23,0.31,1.8,0.26,0.73,100,128,12,44,,,,,,,,,
9815_2020,64,64,0,0.234,,53.4,147,,266.5,,0,31,88,,92.50057293,14.5,18,0.014600088,3.46,0.24,0.3,1.53,0.32,0.82,104,118,14,28,1.311,0.11,3.4,22.5,5,0.35,17.5,0.11,0.26
9816_2020,61,60,1,0.211,,57.2,118.5,,211.5,,2,21,91,,111.702576,13,17,0.011734485,3.2,0.23,0.3,1.61,0.21,0.76,105,115,12,32,,,,,,,,,
9817_2020,63,65,-2,0.272,,53.7,138.5,,229.5,,2,12,85,,110.8641167,14,16.5,0.011734485,3.05,0.23,0.28,1.52,0.22,0.68,106,102,10,29,1.323,0.11,3.5,26.8,5.4,0.34,20.7,0.12,0.28
9818_2020,62,62,0,0.262,,52.3,122,,224.5,,0,0,85,,173.3907146,12,17,0.015918053,3.47,0.25,0.34,1.83,0.2,0.68,103,75,11,22,1.53,0.12,3.7,26,7.4,0.32,19.5,0.14,0.3
9819_2020,58,59,-1,0.211,,57.1,123.5,,234.5,,0,12,81,,129.8355877,13,18.5,0.013554196,3.73,0.29,0.35,1.46,0.24,1.08,115,149,15,43,,,,,,,,,
9820_2020,59,60,-1,0.204,,56.4,130,,241.5,,0,7,85,,101.5268285,13,17.5,0.01305245,3.08,0.23,0.29,1.7,0.23,0.87,104,89,10,29,,,,,,,,,
9822_2020,61,65,-4,0.282,,53.1,132,,248.5,,0,0,85,,196.6935469,13.5,18,0.013554196,3.29,0.24,0.3,1.56,0.19,0.6,119,78,11,26,,,,,,,,,
9823_2020,65,65,0,0.129,,55.4,140.5,,250.5,,0,20,88,,93.64668686,14,18.5,0.013554196,3.29,0.24,0.31,1.82,0.29,0.76,114,97,12,32,1.1835,0.11,3.3,21.4,4.5,0.38,16.6,0.11,0.23
9824_2020,58,59,-1,0.226,,53.8,129,,228.5,,0,0,84,,134.9774547,13.5,18.5,0.013826269,3.32,0.23,0.32,1.3,0.28,0.97,107,79,11,43,,,,,,,,,
9825_2020,63,64,-1,0.253,,52.2,140,,262,,0,1,82,,165.2453619,13.5,19,0.01305245,3.33,0.23,0.29,1.49,0.22,0.74,97,95,10,31,,,,,,,,,
9826_2020,62,64,-2,0.254,,53.6,133,,248.5,,12,9,86,,143.6249295,12,18,0.013554196,3.41,0.23,0.29,1.94,0.19,0.67,93,90,10,22,,,,,,,,,
9829_2020,63,65,-2,0.29,,54,135.5,,237,,0,0,86,,164.2102561,14,19.5,0.013554196,3.09,0.24,0.29,1.62,0.24,0.68,104,85,10,26,,,,,,,,,
9830_2020,66,68,-2,0.304,,53.4,125,,255.5,,0,0,85,,117.3262678,13,18,0.011462411,3.11,0.24,0.31,1.99,0.22,0.64,112,87,10,26,,,,,,,,,
9831_2020,59,60,-1,0.259,,53.7,103.5,,240,,0,0,84,,162.3140521,11.5,18.5,0.01564598,3.39,0.24,0.3,1.61,0.22,0.77,112,80,11,23,1.422,0.11,3.7,24.5,6.4,0.31,17.8,0.12,0.29
9832_2020,61,60,1,0.239,,54.4,130,,257,,0,10,88,,138.064683,13,20.5,0.012780377,3.23,0.23,0.3,1.8,0.19,0.73,105,71,11,22,,,,,,,,,
9833_2020,61,63,-2,0.29,,55.1,127,,231.5,,0,0,89,,167.5746085,14,19,0.013596597,3.3,0.24,0.3,1.49,0.22,0.7,124,116,11,27,1.4265,0.11,2.5,23.1,5.1,0.31,16.2,0.1,0.27
9834_2020,60,59,1,0.23,,56.6,131.5,,262,,1,15,80,,156.9005203,13,19.5,0.012780377,3.03,0.23,0.28,1.97,0.16,0.7,109,123,14,37,,,,,,,,,
9837_2020,60,58,2,0.222,,56,106,,227.5,,0,3,83,,109.5105695,11.5,17.5,0.013826269,3.01,0.2,0.28,1.49,0.16,1.03,90,86,10,27,,,,,,,,,
9838_2020,60,62,-2,0.243,,55.3,117,,216.5,,0,12,83,,137.7981863,13,18,0.013554196,3.31,0.24,0.3,1.48,0.22,0.85,119,126,12,40,,,,,,,,,
9840_2020,62,61,1,0.261,,52.9,140,,262,,1,0,84,,191.1002862,15,20.5,0.014600088,3.24,0.22,0.27,1.56,0.17,0.59,111,103,11,26,,,,,,,,,
9841_2020,61,62,-1,0.284,,52.1,129.5,,252,,0,1,82,,159.2070303,14,21,0.013554196,2.98,0.2,0.25,1.51,0.19,0.62,91,63,8,24,,,,,,,,,
9842_2020,62,63,-1,0.287,,49.7,146.5,,247.5,,2,1,85,,142.1270036,14,19,0.012780377,3.4,0.26,0.3,1.68,0.25,0.9,108,179,14,48,1.3335,0.11,3.4,23,7.2,0.45,17.8,0.11,0.26
9843_2020,62,64,-2,0.271,,53.6,140.5,,226.5,,1,0,75,,165.8473387,14,19,0.010688593,3.58,0.23,0.27,1.38,0.25,0.77,100,166,13,33,1.2405,0.1,2.7,21.9,5.1,0.34,19.5,0.1,0.25
9847_2020,65,69,-4,0.268,,53.5,105.5,,191,,0,0,88,,100.6689242,14,18,0.012780377,2.2,0.15,0.2,1.64,0.19,0.44,80,45,5,21,1.026,0.09,2.7,22.8,4.2,0.37,18.7,0.11,0.26
9848_2020,62,65,-3,0.272,,52.6,131.5,,212,,0,11,82,,132.3165835,14,19,0.012006558,2.34,0.17,0.21,1.47,0.21,0.56,85,46,5,23,,,,,,,,,
9851_2020,60,61,-1,0.24,,52,120,,210.5,,0,6,75,,125.2744285,13.5,18.5,0.012508304,2.51,0.19,0.23,1.62,0.2,0.74,101,72,9,30,,,,,,,,,
9852_2020,69,70,-1,0.289,,51.4,134,,232,,0,1,87,,149.0335097,14,16.5,0.012508304,2.46,0.17,0.22,1.6,0.19,0.66,88,68,9,34,,,,,,,,,
9853_2020,63,64,-1,0.152,,53,123.5,,231,,29,18,82,,100.1762838,12,18.5,0.011734485,2.61,0.18,0.24,1.8,0.18,0.76,78,71,8,23,,,,,,,,,
9854_2020,64,66,-2,0.144,,50.1,155.5,,246.5,,0,14,85,,84.07440724,14,18,0.010688593,2.21,0.15,0.2,2.1,0.14,0.51,62,61,6,30,0.8805,0.08,2.1,18.5,4.9,0.4,18.4,0.1,0.25
